date,AUTOMOTIVE,BABY CARE,BEAUTY,BEVERAGES,BOOKS,BREAD/BAKERY,CELEBRATION,CLEANING,DAIRY,DELI,EGGS,FROZEN FOODS,GROCERY I,GROCERY II,HARDWARE,HOME AND KITCHEN I,HOME AND KITCHEN II,HOME APPLIANCES,HOME CARE,LADIESWEAR,LAWN AND GARDEN,LINGERIE,"LIQUOR,WINE,BEER",MAGAZINES,MEATS,PERSONAL CARE,PET SUPPLIES,PLAYERS AND ELECTRONICS,POULTRY,PREPARED FOODS,PRODUCE,SCHOOL AND OFFICE SUPPLIES,SEAFOOD,total_sales
2013-01-01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2013-01-02,2.0,0.0,2.0,1091.0,0.0,470.652,0.0,1060.0,579.0,164.069,246.0,131.0,2652.0,31.0,3.0,0.0,0.0,0.0,0.0,0.0,10.0,13.0,67.0,0.0,369.101,194.0,0.0,0.0,247.297,47.0,0.0,0.0,38.029,7415.147999999999
2013-01-03,3.0,0.0,0.0,919.0,0.0,310.655,0.0,836.0,453.0,151.582,203.0,87.044,2121.0,12.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,15.0,66.0,0.0,272.319,153.0,0.0,0.0,187.278,63.0,0.0,0.0,17.366001,5870.244001
2013-01-04,3.0,0.0,3.0,953.0,0.0,198.366,0.0,827.0,460.0,131.411,171.0,65.0,2056.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,24.0,102.0,0.0,454.172,88.0,0.0,0.0,258.023,67.0,0.0,0.0,29.907001,5916.879001
2013-01-05,5.0,0.0,3.0,1160.0,0.0,301.057,0.0,811.0,464.0,118.613,177.0,70.0,2216.0,30.0,1.0,0.0,0.0,0.0,0.0,0.0,10.0,20.0,159.0,0.0,328.94,141.0,0.0,0.0,212.33301,66.0,0.0,0.0,24.842,6313.78501
2013-01-06,2.0,0.0,0.0,407.0,0.0,147.182,0.0,257.0,212.0,60.135,85.0,32.73,723.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.282,49.0,0.0,0.0,73.758,25.0,0.0,0.0,5.0,2197.0869999999995
2013-01-07,0.0,0.0,1.0,1158.0,0.0,309.676,0.0,829.0,400.0,113.235,157.0,95.0,2262.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,109.0,0.0,266.72,154.0,0.0,0.0,218.293,48.0,0.0,0.0,4.0,6150.924
2013-01-08,2.0,0.0,3.0,1029.0,0.0,321.851,0.0,827.0,384.0,130.085,150.0,84.0,1782.0,22.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,19.0,86.0,0.0,393.51,119.0,0.0,0.0,165.968,40.0,0.0,0.0,30.767,5595.181
2013-01-09,2.0,0.0,1.0,1186.0,0.0,298.582,0.0,906.0,530.0,147.149,171.0,86.0,2429.0,56.0,2.0,0.0,0.0,0.0,0.0,0.0,11.0,5.0,104.0,0.0,390.15298,190.0,0.0,0.0,207.27501,53.0,0.0,0.0,33.42,6806.57899
2013-01-10,2.0,0.0,3.0,847.0,0.0,303.515,0.0,683.0,345.0,123.893,117.0,61.0,1544.0,39.0,4.0,0.0,0.0,0.0,0.0,0.0,4.0,10.0,67.0,0.0,246.035,110.0,0.0,0.0,156.072,66.0,0.0,0.0,26.2,4755.714999999999
